id,season,prenda,nivel,subnivel,tipo_color_temporada,color,color_categoria,publishable,formales_informales,color_l,color_categoria_l,adventurous,application,basic,print,style,weather,talla_lookiero
22iJ870_cafrtwo0_sm,8,sweater,2,2.2,CALIDOS/VERANO,camel,MARRÓN,True,N,i,B,two,freetime,0,smooth,casual,cold,"['M', 'S', 'XS']"
22uJ870_cafrtwo0_sm,8,sweater,2,2.2,CALIDOS/VERANO,orange,NARANJA,True,N,u,J,two,freetime,0,smooth,casual,cold,"['XS', 'S', 'M']"
22aJ870_cafrtwo0_sm,8,sweater,2,2.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,freetime,0,smooth,casual,cold,"['S', 'M', 'XS']"
22eJ870_cafrtwo0_sm,9,sweater,2,2.2,CALIDOS/VERANO,yellow,AMARILLO,True,N,e,D,two,freetime,0,smooth,casual,cold,"['S', 'XS', 'M']"
22aqJ870_cafrtwo0_sm,8,sweater,2,2.2,FRIOS/INVIERNO,purple,MORADO,True,N,aq,K,two,freetime,0,smooth,casual,cold,"['S', 'M', 'XS']"
22aaJ870_cafrtwo0_sm,9,sweater,2,2.2,FRIOS/INVIERNO,aubergine,MORADO,True,N,aa,K,two,freetime,0,smooth,casual,cold,"['M', 'S', 'XS']"
22fJ870_cafrtwo0_sm,8,sweater,2,2.2,CALIDOS/VERANO,ecru,BLANCO,True,N,f,E,two,freetime,0,smooth,casual,cold,"['M', 'S', 'XS']"
22vJ870_cafrtwo0_sm,9,sweater,2,2.2,CALIDOS/VERANO,crimson,ROJO,True,N,v,C,two,freetime,0,smooth,casual,cold,"['M', 'S', 'XS']"
22oJ870_cafrtwo0_sm,9,sweater,2,2.2,CALIDOS/VERANO,green,VERDE,True,N,o,G,two,freetime,0,smooth,casual,cold,"['M', 'S', 'XS']"
22rJ870_cafrtwo0_sm,9,sweater,2,2.2,CALIDOS/VERANO,pink,ROSA,True,N,r,I,two,freetime,0,smooth,casual,cold,"['M', 'S', 'XS']"
22qJ870_cafrtwo0_sm,7,sweater,2,2.2,CALIDOS/VERANO,mustand,AMARILLO,True,N,q,D,two,freetime,0,smooth,casual,cold,"['M', 'S', 'XS']"
22amJ870_cafrtwo0_sm,7,sweater,2,2.2,FRIOS/INVIERNO,nude,MARRÓN,True,N,am,B,two,freetime,0,smooth,casual,cold,"['M', 'S', 'XS']"
11rF1059_clwothr0_pr,7,skirt,1,1.1,CALIDOS/VERANO,pink,ROSA,True,FR,r,I,three,work,0,prince_of_wales,classic,warm_season,"['XS', 'S', 'XL', 'L', 'M']"
11adP1685_clwotwo0_mi,9,pant,1,1.1,FRIOS/INVIERNO,brown_light,MARRÓN,True,N,ad,B,two,work,0,miniprint,classic,warm_season,"['L', 'XL', 'M', 'XXL', 'S']"
11aP1685_clwotwo0_mi,7,pant,1,1.1,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,work,0,miniprint,classic,warm_season,"['S', 'L', 'M', 'XL', 'XXL']"
11iP1685_clwotwo0_mi,7,pant,1,1.1,CALIDOS/VERANO,camel,MARRÓN,True,N,i,B,two,work,0,miniprint,classic,warm_season,"['L', 'S', 'XXL', 'M', 'XL']"
11gP1685_clwotwo0_mi,7,pant,1,1.1,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,two,work,0,miniprint,classic,warm_season,"['L', 'S', 'XL', 'XXL', 'M']"
11qP1685_clwotwo0_mi,7,pant,1,1.1,CALIDOS/VERANO,mustand,AMARILLO,True,N,q,D,two,work,0,miniprint,classic,warm_season,"['XL', 'XXL', 'L', 'M', 'S']"
32qB1414_bofrthrn_sm,7,bag,3,3.2,CALIDOS/VERANO,mustand,AMARILLO,True,N,q,D,three,freetime,no_especificado,smooth,boho,warm,['UNQ']
32uB1414_bofrthrn_sm,7,bag,3,3.2,CALIDOS/VERANO,orange,NARANJA,True,N,u,J,three,freetime,no_especificado,smooth,boho,warm,['UNQ']
32aB1414_bofrthrn_sm,7,bag,3,3.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,three,freetime,no_especificado,smooth,boho,warm,['UNQ']
32rB1414_bofrthrn_sm,7,bag,3,3.2,CALIDOS/VERANO,pink,ROSA,True,N,r,I,three,freetime,no_especificado,smooth,boho,warm,['UNQ']
32eQ318_bowotwon_fl,7,foulard,3,3.2,CALIDOS/VERANO,yellow,AMARILLO,True,FR,e,D,two,work,no_especificado,floral,boho,warm_season,['UNQ']
32yQ318_bowotwon_fl,7,foulard,3,3.2,FRIOS/INVIERNO,garnet,ROJO,True,FR,y,C,two,work,no_especificado,floral,boho,warm_season,['UNQ']
